fare_id,destination_id,origin_id
M_2,34_MGR_METRO_N,370_CUN_METRO_N
M_3,27_TAS_METRO_S,370_CUN_METRO_N
M_3,7_MAA_METRO_S,370_CUN_METRO_N
M_1,100_SHO_METRO_N,370_CUN_METRO_N
M_2,226_AIN_METRO_S,370_CUN_METRO_N
M_3,23_MAD_METRO_S,370_CUN_METRO_N
M_1,100_SHO_METRO_S,370_CUN_METRO_N
M_2,34_MGR_METRO_S,370_CUN_METRO_N
M_2,226_AIN_METRO_N,370_CUN_METRO_N
M_2,178_DZT_METRO_S,370_CUN_METRO_N
M_3,27_TAS_METRO_N,370_CUN_METRO_N
M_3,14_HOF_METRO_N,370_CUN_METRO_N
M_2,178_DZT_METRO_N,370_CUN_METRO_N
M_1,81_ATT_METRO_N,370_CUN_METRO_N
M_1,369_FAS_METRO_N,370_CUN_METRO_N
M_1,144_MSA_METRO_N,370_CUN_METRO_N
M_1,86_SAD_METRO_N2,370_CUN_METRO_N
M_1,369_FAS_METRO_S,370_CUN_METRO_N
M_1,153_RFG_METRO_N,370_CUN_METRO_N
M_1,144_MSA_METRO_S,370_CUN_METRO_N
M_2,157_KHL_METRO_S,370_CUN_METRO_N
M_1,100_SHO_METRO_N2,370_CUN_METRO_N
M_1,81_ATT_METRO_S,370_CUN_METRO_N
M_1,263_MON_METRO_S,370_CUN_METRO_N
M_2,158_MZL_METRO_S,370_CUN_METRO_N
M_1,153_RFG_METRO_S,370_CUN_METRO_N
M_1,457_OMS_METRO_S,370_CUN_METRO_N
M_2,157_KHL_METRO_N,370_CUN_METRO_N
M_1,457_OMS_METRO_N,370_CUN_METRO_N
M_1,263_MON_METRO_N,370_CUN_METRO_N
M_1,361_DOK_METRO_N,370_CUN_METRO_N
M_1,237_OPR_METRO_N,370_CUN_METRO_N
M_2,326_SHB_METRO_N,370_CUN_METRO_N
M_1,157_STR_METRO_N,370_CUN_METRO_N
M_1,237_OPR_METRO_S,370_CUN_METRO_N
M_1,361_DOK_METRO_S,370_CUN_METRO_N
M_1,457_MEK_METRO_N,370_CUN_METRO_N
M_2,158_MZL_METRO_N,370_CUN_METRO_N
M_1,457_MEK_METRO_S,370_CUN_METRO_N
M_1,100_SHO_METRO_S2,370_CUN_METRO_N
M_1,69_NAG_METRO_S,370_CUN_METRO_N
M_1,69_NAG_METRO_N,370_CUN_METRO_N
M_2,324_ZER_METRO_N,370_CUN_METRO_N
M_1,457_GIZ_METRO_N,370_CUN_METRO_N
M_1,361_BHO_METRO_S,370_CUN_METRO_N
M_2,324_ZER_METRO_S,370_CUN_METRO_N
M_1,157_STR_METRO_S,370_CUN_METRO_N
M_1,457_GIZ_METRO_S,370_CUN_METRO_N
M_1,86_SAD_METRO_S2,370_CUN_METRO_N
M_1,361_BHO_METRO_N,370_CUN_METRO_N
M_2,326_SHB_METRO_S,370_CUN_METRO_N
M_1,77_BSH_METRO_N,370_CUN_METRO_N
M_2,192_KBN_METRO_S,370_CUN_METRO_N
M_1,118_GES_METRO_N,370_CUN_METRO_N
M_1,77_BSH_METRO_S,370_CUN_METRO_N
M_1,208_FZO_METRO_S,370_CUN_METRO_N
M_1,161_ABB_METRO_N,370_CUN_METRO_N
M_1,163_ABB_METRO_S,370_CUN_METRO_N
M_1,118_GES_METRO_S,370_CUN_METRO_N
M_1,81_ATT_METRO_W,370_CUN_METRO_N
M_2,214_AHR_METRO_N,370_CUN_METRO_N
M_1,161_ABB_METRO_S,370_CUN_METRO_N
M_2,214_AHR_METRO_S,370_CUN_METRO_N
M_1,163_ABB_METRO_N,370_CUN_METRO_N
M_2,190_STA_METRO_N,370_CUN_METRO_N
M_2,190_STA_METRO_S,370_CUN_METRO_N
M_2,192_KBN_METRO_N,370_CUN_METRO_N
M_1,81_ATT_METRO_E,370_CUN_METRO_N
M_1,208_FZO_METRO_N,370_CUN_METRO_N
M_1,137_GHM_METRO_S,369_FAS_METRO_S
M_3,23_MAD_METRO_N,369_FAS_METRO_S
M_3,23_SMA_METRO_N,369_FAS_METRO_S
M_3,23_SMA_METRO_S,369_FAS_METRO_S
M_1,159_DMD_METRO_N,369_FAS_METRO_S
M_2,98_ORA_METRO_N,369_FAS_METRO_S
M_1,86_SAD_METRO_S,369_FAS_METRO_S
M_1,159_DMD_METRO_S,369_FAS_METRO_S
M_2,246_DAR_METRO_S,369_FAS_METRO_S
M_3,10_HLW_METRO_S,369_FAS_METRO_S
M_2,98_ORA_METRO_S,369_FAS_METRO_S
M_2,223_MAT_METRO_S,369_FAS_METRO_S
M_1,137_GHM_METRO_N,369_FAS_METRO_S
M_2,180_KQO_METRO_N,369_FAS_METRO_S
M_2,246_DAR_METRO_N,369_FAS_METRO_S
M_2,180_KQO_METRO_S,369_FAS_METRO_S
M_3,232_NKH_METRO_N,369_FAS_METRO_S
M_3,26_KZK_METRO_N,369_FAS_METRO_S
M_3,232_NKH_METRO_S,369_FAS_METRO_S
M_3,251_NMR_METRO_S,369_FAS_METRO_S
M_2,223_HZT_METRO_S,369_FAS_METRO_S
M_2,47_ZEI_Metro_N,369_FAS_METRO_S
M_2,32_MSH_Metro_S,369_FAS_METRO_S
M_3,26_KZK_METRO_S,369_FAS_METRO_S
M_3,251_NMR_METRO_N,369_FAS_METRO_S
M_2,32_MSH_Metro_N,369_FAS_METRO_S
M_2,47_ZEI_Metro_S,369_FAS_METRO_S
M_3,246_HMA_METRO_S,369_FAS_METRO_S
M_3,246_HMA_METRO_N,369_FAS_METRO_S
M_2,160_MSD_METRO_N,369_FAS_METRO_S
M_2,180_SQO_METRO_N,369_FAS_METRO_S
M_3,28_TBA_METRO_N,369_FAS_METRO_S
M_2,160_MSD_METRO_S,369_FAS_METRO_S
M_3,251_MRG_METRO_S,369_FAS_METRO_S
M_3,28_TBA_METRO_S,369_FAS_METRO_S
M_3,10_AHL_METRO_S,369_FAS_METRO_S
M_2,180_SQO_METRO_S,369_FAS_METRO_S
M_3,251_MRG_METRO_N,369_FAS_METRO_S
M_3,10_AHL_METRO_N,369_FAS_METRO_S
M_1,87_NAS_METRO_S,369_FAS_METRO_S
M_2,52_SZA_Metro_S,369_FAS_METRO_S
M_2,223_HZT_METRO_N,369_FAS_METRO_S
M_3,14_HHL_METRO_S,369_FAS_METRO_S
M_3,14_HHL_METRO_N,369_FAS_METRO_S
M_2,52_SZA_Metro_N,369_FAS_METRO_S
M_1,87_NAS_METRO_N,369_FAS_METRO_S
M_3,10_UHL_METRO_S,369_FAS_METRO_S
M_3,10_UHL_METRO_N,369_FAS_METRO_S
M_2,31_ZAH_Metro_S,369_FAS_METRO_S
M_3,14_HOF_METRO_S,369_FAS_METRO_S
M_2,31_ZAH_Metro_N,369_FAS_METRO_S
M_2,223_MAT_METRO_N,369_FAS_METRO_S
M_3,7_MAA_METRO_N,369_FAS_METRO_S
M_2,180_HQO_METRO_N,369_FAS_METRO_S
M_3,10_HLW_METRO_N,369_FAS_METRO_S
M_2,180_HQO_METRO_S,369_FAS_METRO_S
M_1,86_SAD_METRO_N,369_FAS_METRO_S
M_2,34_MGR_METRO_N,369_FAS_METRO_S
M_3,27_TAS_METRO_S,369_FAS_METRO_S
M_3,7_MAA_METRO_S,369_FAS_METRO_S
M_1,100_SHO_METRO_N,369_FAS_METRO_S
M_3,226_AIN_METRO_S,369_FAS_METRO_S
M_3,23_MAD_METRO_S,369_FAS_METRO_S
M_1,100_SHO_METRO_S,369_FAS_METRO_S
M_2,34_MGR_METRO_S,369_FAS_METRO_S
M_3,226_AIN_METRO_N,369_FAS_METRO_S
M_2,178_DZT_METRO_S,369_FAS_METRO_S
M_3,27_TAS_METRO_N,369_FAS_METRO_S
M_3,14_HOF_METRO_N,369_FAS_METRO_S
M_2,178_DZT_METRO_N,369_FAS_METRO_S
M_1,81_ATT_METRO_N,369_FAS_METRO_S
M_1,370_CUN_METRO_S,369_FAS_METRO_S
M_2,144_MSA_METRO_N,369_FAS_METRO_S
M_1,86_SAD_METRO_N2,369_FAS_METRO_S
M_1,370_CUN_METRO_N,369_FAS_METRO_S
M_2,153_RFG_METRO_N,369_FAS_METRO_S
M_2,144_MSA_METRO_S,369_FAS_METRO_S
M_2,157_KHL_METRO_S,369_FAS_METRO_S
M_1,100_SHO_METRO_N2,369_FAS_METRO_S
M_1,81_ATT_METRO_S,369_FAS_METRO_S
M_1,263_MON_METRO_S,369_FAS_METRO_S
M_2,158_MZL_METRO_S,369_FAS_METRO_S
M_2,153_RFG_METRO_S,369_FAS_METRO_S
M_1,457_OMS_METRO_S,369_FAS_METRO_S
M_2,157_KHL_METRO_N,369_FAS_METRO_S
M_1,457_OMS_METRO_N,369_FAS_METRO_S
M_1,263_MON_METRO_N,369_FAS_METRO_S
M_1,361_DOK_METRO_N,369_FAS_METRO_S
M_1,237_OPR_METRO_N,369_FAS_METRO_S
M_2,326_SHB_METRO_N,369_FAS_METRO_S
M_2,157_STR_METRO_N,369_FAS_METRO_S
M_1,237_OPR_METRO_S,369_FAS_METRO_S
M_1,361_DOK_METRO_S,369_FAS_METRO_S
M_1,457_MEK_METRO_N,369_FAS_METRO_S
M_2,158_MZL_METRO_N,369_FAS_METRO_S
M_1,457_MEK_METRO_S,369_FAS_METRO_S
M_1,100_SHO_METRO_S2,369_FAS_METRO_S
M_1,69_NAG_METRO_S,369_FAS_METRO_S
M_1,69_NAG_METRO_N,369_FAS_METRO_S
M_2,324_ZER_METRO_N,369_FAS_METRO_S
M_1,457_GIZ_METRO_N,369_FAS_METRO_S
M_1,361_BHO_METRO_S,369_FAS_METRO_S
M_2,324_ZER_METRO_S,369_FAS_METRO_S
M_2,157_STR_METRO_S,369_FAS_METRO_S
M_1,457_GIZ_METRO_S,369_FAS_METRO_S
M_1,86_SAD_METRO_S2,369_FAS_METRO_S
M_1,361_BHO_METRO_N,369_FAS_METRO_S
M_2,326_SHB_METRO_S,369_FAS_METRO_S
M_1,77_BSH_METRO_N,369_FAS_METRO_S
M_2,192_KBN_METRO_S,369_FAS_METRO_S
M_1,118_GES_METRO_N,369_FAS_METRO_S
M_1,77_BSH_METRO_S,369_FAS_METRO_S
M_2,208_FZO_METRO_S,369_FAS_METRO_S
M_2,161_ABB_METRO_N,369_FAS_METRO_S
M_1,163_ABB_METRO_S,369_FAS_METRO_S
M_1,118_GES_METRO_S,369_FAS_METRO_S
M_1,81_ATT_METRO_W,369_FAS_METRO_S
M_2,214_AHR_METRO_N,369_FAS_METRO_S
M_2,161_ABB_METRO_S,369_FAS_METRO_S
M_2,214_AHR_METRO_S,369_FAS_METRO_S
M_1,163_ABB_METRO_N,369_FAS_METRO_S
M_2,190_STA_METRO_N,369_FAS_METRO_S
M_2,190_STA_METRO_S,369_FAS_METRO_S
M_2,192_KBN_METRO_N,369_FAS_METRO_S
M_1,81_ATT_METRO_E,369_FAS_METRO_S
M_2,208_FZO_METRO_N,369_FAS_METRO_S
M_1,137_GHM_METRO_S,153_RFG_METRO_N
M_2,23_MAD_METRO_N,153_RFG_METRO_N
M_2,23_SMA_METRO_N,153_RFG_METRO_N
M_2,23_SMA_METRO_S,153_RFG_METRO_N
M_2,159_DMD_METRO_N,153_RFG_METRO_N
M_1,98_ORA_METRO_N,153_RFG_METRO_N
M_1,86_SAD_METRO_S,153_RFG_METRO_N
M_2,159_DMD_METRO_S,153_RFG_METRO_N
M_2,246_DAR_METRO_S,153_RFG_METRO_N
M_3,10_HLW_METRO_S,153_RFG_METRO_N
M_1,98_ORA_METRO_S,153_RFG_METRO_N
M_2,223_MAT_METRO_S,153_RFG_METRO_N
M_1,137_GHM_METRO_N,153_RFG_METRO_N
M_1,180_KQO_METRO_N,153_RFG_METRO_N
M_2,246_DAR_METRO_N,153_RFG_METRO_N
M_1,180_KQO_METRO_S,153_RFG_METRO_N
M_2,232_NKH_METRO_N,153_RFG_METRO_N
M_2,26_KZK_METRO_N,153_RFG_METRO_N
M_2,232_NKH_METRO_S,153_RFG_METRO_N
M_2,251_NMR_METRO_S,153_RFG_METRO_N
M_2,223_HZT_METRO_S,153_RFG_METRO_N
M_1,47_ZEI_Metro_N,153_RFG_METRO_N
M_1,32_MSH_Metro_S,153_RFG_METRO_N
M_2,26_KZK_METRO_S,153_RFG_METRO_N
M_2,251_NMR_METRO_N,153_RFG_METRO_N
M_1,32_MSH_Metro_N,153_RFG_METRO_N
M_1,47_ZEI_Metro_S,153_RFG_METRO_N
M_2,246_HMA_METRO_S,153_RFG_METRO_N
M_2,246_HMA_METRO_N,153_RFG_METRO_N
M_1,160_MSD_METRO_N,153_RFG_METRO_N
M_2,180_SQO_METRO_N,153_RFG_METRO_N
M_2,28_TBA_METRO_N,153_RFG_METRO_N
M_1,160_MSD_METRO_S,153_RFG_METRO_N
M_2,251_MRG_METRO_S,153_RFG_METRO_N
M_2,28_TBA_METRO_S,153_RFG_METRO_N
M_3,10_AHL_METRO_S,153_RFG_METRO_N
M_2,180_SQO_METRO_S,153_RFG_METRO_N
M_2,251_MRG_METRO_N,153_RFG_METRO_N
M_3,10_AHL_METRO_N,153_RFG_METRO_N
M_1,87_NAS_METRO_S,153_RFG_METRO_N
M_1,52_SZA_Metro_S,153_RFG_METRO_N
M_2,223_HZT_METRO_N,153_RFG_METRO_N
M_3,14_HHL_METRO_S,153_RFG_METRO_N
M_3,14_HHL_METRO_N,153_RFG_METRO_N
M_1,52_SZA_Metro_N,153_RFG_METRO_N
M_1,87_NAS_METRO_N,153_RFG_METRO_N
M_3,10_UHL_METRO_S,153_RFG_METRO_N
M_3,10_UHL_METRO_N,153_RFG_METRO_N
M_1,31_ZAH_Metro_S,153_RFG_METRO_N
M_3,14_HOF_METRO_S,153_RFG_METRO_N
M_1,31_ZAH_Metro_N,153_RFG_METRO_N
M_2,223_MAT_METRO_N,153_RFG_METRO_N
M_3,7_MAA_METRO_N,153_RFG_METRO_N
M_2,180_HQO_METRO_N,153_RFG_METRO_N
M_3,10_HLW_METRO_N,153_RFG_METRO_N
M_2,180_HQO_METRO_S,153_RFG_METRO_N
M_1,86_SAD_METRO_N,153_RFG_METRO_N
M_1,34_MGR_METRO_N,153_RFG_METRO_N
M_2,27_TAS_METRO_S,153_RFG_METRO_N
M_3,7_MAA_METRO_S,153_RFG_METRO_N
M_1,100_SHO_METRO_N,153_RFG_METRO_N
M_2,226_AIN_METRO_S,153_RFG_METRO_N
M_2,23_MAD_METRO_S,153_RFG_METRO_N
M_1,100_SHO_METRO_S,153_RFG_METRO_N
M_1,34_MGR_METRO_S,153_RFG_METRO_N
M_2,226_AIN_METRO_N,153_RFG_METRO_N
M_2,178_DZT_METRO_S,153_RFG_METRO_N
M_2,27_TAS_METRO_N,153_RFG_METRO_N
M_3,14_HOF_METRO_N,153_RFG_METRO_N
M_2,178_DZT_METRO_N,153_RFG_METRO_N
M_1,81_ATT_METRO_N,153_RFG_METRO_N
M_2,369_FAS_METRO_N,153_RFG_METRO_N
M_1,370_CUN_METRO_S,153_RFG_METRO_N
M_1,144_MSA_METRO_N,153_RFG_METRO_N
M_1,86_SAD_METRO_N2,153_RFG_METRO_N
M_1,370_CUN_METRO_N,153_RFG_METRO_N
M_2,369_FAS_METRO_S,153_RFG_METRO_N
M_1,144_MSA_METRO_S,153_RFG_METRO_N
M_1,157_KHL_METRO_S,153_RFG_METRO_N
M_1,100_SHO_METRO_N2,153_RFG_METRO_N
M_1,81_ATT_METRO_S,153_RFG_METRO_N
M_2,263_MON_METRO_S,153_RFG_METRO_N
M_1,158_MZL_METRO_S,153_RFG_METRO_N
M_2,457_OMS_METRO_S,153_RFG_METRO_N
M_1,157_KHL_METRO_N,153_RFG_METRO_N
M_2,457_OMS_METRO_N,153_RFG_METRO_N
M_2,263_MON_METRO_N,153_RFG_METRO_N
M_1,361_DOK_METRO_N,153_RFG_METRO_N
M_1,237_OPR_METRO_N,153_RFG_METRO_N
M_1,326_SHB_METRO_N,153_RFG_METRO_N
M_1,157_STR_METRO_N,153_RFG_METRO_N
M_1,237_OPR_METRO_S,153_RFG_METRO_N
M_1,361_DOK_METRO_S,153_RFG_METRO_N
M_2,457_MEK_METRO_N,153_RFG_METRO_N
M_1,158_MZL_METRO_N,153_RFG_METRO_N
M_2,457_MEK_METRO_S,153_RFG_METRO_N
M_1,100_SHO_METRO_S2,153_RFG_METRO_N
M_1,69_NAG_METRO_S,153_RFG_METRO_N
M_1,69_NAG_METRO_N,153_RFG_METRO_N
M_1,324_ZER_METRO_N,153_RFG_METRO_N
M_2,457_GIZ_METRO_N,153_RFG_METRO_N
M_1,361_BHO_METRO_S,153_RFG_METRO_N
M_1,324_ZER_METRO_S,153_RFG_METRO_N
M_1,157_STR_METRO_S,153_RFG_METRO_N
M_2,457_GIZ_METRO_S,153_RFG_METRO_N
M_1,86_SAD_METRO_S2,153_RFG_METRO_N
M_1,361_BHO_METRO_N,153_RFG_METRO_N
M_1,326_SHB_METRO_S,153_RFG_METRO_N
M_1,77_BSH_METRO_N,153_RFG_METRO_N
M_1,192_KBN_METRO_S,153_RFG_METRO_N
M_1,118_GES_METRO_N,153_RFG_METRO_N
M_1,77_BSH_METRO_S,153_RFG_METRO_N
M_1,208_FZO_METRO_S,153_RFG_METRO_N
M_1,161_ABB_METRO_N,153_RFG_METRO_N
M_1,163_ABB_METRO_S,153_RFG_METRO_N
M_1,118_GES_METRO_S,153_RFG_METRO_N
M_1,81_ATT_METRO_W,153_RFG_METRO_N
M_1,214_AHR_METRO_N,153_RFG_METRO_N
M_1,161_ABB_METRO_S,153_RFG_METRO_N
M_1,214_AHR_METRO_S,153_RFG_METRO_N
M_1,163_ABB_METRO_N,153_RFG_METRO_N
M_1,190_STA_METRO_N,153_RFG_METRO_N
M_1,190_STA_METRO_S,153_RFG_METRO_N
M_1,192_KBN_METRO_N,153_RFG_METRO_N
M_1,81_ATT_METRO_E,153_RFG_METRO_N
M_1,208_FZO_METRO_N,153_RFG_METRO_N
M_1,137_GHM_METRO_S,144_MSA_METRO_S
M_2,23_MAD_METRO_N,144_MSA_METRO_S
M_2,23_SMA_METRO_N,144_MSA_METRO_S
M_2,23_SMA_METRO_S,144_MSA_METRO_S
M_1,159_DMD_METRO_N,144_MSA_METRO_S
M_1,98_ORA_METRO_N,144_MSA_METRO_S
M_1,86_SAD_METRO_S,144_MSA_METRO_S
M_1,159_DMD_METRO_S,144_MSA_METRO_S
M_1,246_DAR_METRO_S,144_MSA_METRO_S
M_3,10_HLW_METRO_S,144_MSA_METRO_S
M_1,98_ORA_METRO_S,144_MSA_METRO_S
M_1,223_MAT_METRO_S,144_MSA_METRO_S
M_1,137_GHM_METRO_N,144_MSA_METRO_S
M_1,180_KQO_METRO_N,144_MSA_METRO_S
M_1,246_DAR_METRO_N,144_MSA_METRO_S
M_1,180_KQO_METRO_S,144_MSA_METRO_S
M_2,232_NKH_METRO_N,144_MSA_METRO_S
M_2,26_KZK_METRO_N,144_MSA_METRO_S
M_2,232_NKH_METRO_S,144_MSA_METRO_S
M_2,251_NMR_METRO_S,144_MSA_METRO_S
M_1,223_HZT_METRO_S,144_MSA_METRO_S
M_1,47_ZEI_Metro_N,144_MSA_METRO_S
M_1,32_MSH_Metro_S,144_MSA_METRO_S
M_2,26_KZK_METRO_S,144_MSA_METRO_S
M_2,251_NMR_METRO_N,144_MSA_METRO_S
M_1,32_MSH_Metro_N,144_MSA_METRO_S
M_1,47_ZEI_Metro_S,144_MSA_METRO_S
M_1,246_HMA_METRO_S,144_MSA_METRO_S
M_1,246_HMA_METRO_N,144_MSA_METRO_S
M_1,160_MSD_METRO_N,144_MSA_METRO_S
M_1,180_SQO_METRO_N,144_MSA_METRO_S
M_2,28_TBA_METRO_N,144_MSA_METRO_S
M_1,160_MSD_METRO_S,144_MSA_METRO_S
M_2,251_MRG_METRO_S,144_MSA_METRO_S
M_2,28_TBA_METRO_S,144_MSA_METRO_S
M_3,10_AHL_METRO_S,144_MSA_METRO_S
M_1,180_SQO_METRO_S,144_MSA_METRO_S
M_2,251_MRG_METRO_N,144_MSA_METRO_S
M_3,10_AHL_METRO_N,144_MSA_METRO_S
M_1,87_NAS_METRO_S,144_MSA_METRO_S
M_1,52_SZA_Metro_S,144_MSA_METRO_S
M_1,223_HZT_METRO_N,144_MSA_METRO_S
M_2,14_HHL_METRO_S,144_MSA_METRO_S
M_2,14_HHL_METRO_N,144_MSA_METRO_S
M_1,52_SZA_Metro_N,144_MSA_METRO_S
M_1,87_NAS_METRO_N,144_MSA_METRO_S
M_3,10_UHL_METRO_S,144_MSA_METRO_S
M_3,10_UHL_METRO_N,144_MSA_METRO_S
M_1,31_ZAH_Metro_S,144_MSA_METRO_S
M_3,14_HOF_METRO_S,144_MSA_METRO_S
M_1,31_ZAH_Metro_N,144_MSA_METRO_S
M_1,223_MAT_METRO_N,144_MSA_METRO_S
M_2,7_MAA_METRO_N,144_MSA_METRO_S
M_1,180_HQO_METRO_N,144_MSA_METRO_S
M_3,10_HLW_METRO_N,144_MSA_METRO_S
M_1,180_HQO_METRO_S,144_MSA_METRO_S
M_1,86_SAD_METRO_N,144_MSA_METRO_S
M_1,34_MGR_METRO_N,144_MSA_METRO_S
M_2,27_TAS_METRO_S,144_MSA_METRO_S
M_2,7_MAA_METRO_S,144_MSA_METRO_S
M_1,100_SHO_METRO_N,144_MSA_METRO_S
M_1,226_AIN_METRO_S,144_MSA_METRO_S
M_2,23_MAD_METRO_S,144_MSA_METRO_S
M_1,100_SHO_METRO_S,144_MSA_METRO_S
M_1,34_MGR_METRO_S,144_MSA_METRO_S
M_1,226_AIN_METRO_N,144_MSA_METRO_S
M_1,178_DZT_METRO_S,144_MSA_METRO_S
M_2,27_TAS_METRO_N,144_MSA_METRO_S
M_3,14_HOF_METRO_N,144_MSA_METRO_S
M_1,178_DZT_METRO_N,144_MSA_METRO_S
M_1,81_ATT_METRO_N,144_MSA_METRO_S
M_1,369_FAS_METRO_N,144_MSA_METRO_S
M_1,370_CUN_METRO_S,144_MSA_METRO_S
M_1,86_SAD_METRO_N2,144_MSA_METRO_S
M_1,370_CUN_METRO_N,144_MSA_METRO_S
M_1,369_FAS_METRO_S,144_MSA_METRO_S
M_1,153_RFG_METRO_N,144_MSA_METRO_S
M_1,157_KHL_METRO_S,144_MSA_METRO_S
M_1,100_SHO_METRO_N2,144_MSA_METRO_S
M_1,81_ATT_METRO_S,144_MSA_METRO_S
M_2,263_MON_METRO_S,144_MSA_METRO_S
M_1,158_MZL_METRO_S,144_MSA_METRO_S
M_1,153_RFG_METRO_S,144_MSA_METRO_S
M_2,457_OMS_METRO_S,144_MSA_METRO_S
M_1,157_KHL_METRO_N,144_MSA_METRO_S
M_2,457_OMS_METRO_N,144_MSA_METRO_S
M_2,263_MON_METRO_N,144_MSA_METRO_S
M_1,361_DOK_METRO_N,144_MSA_METRO_S
M_1,237_OPR_METRO_N,144_MSA_METRO_S
M_1,326_SHB_METRO_N,144_MSA_METRO_S
M_1,157_STR_METRO_N,144_MSA_METRO_S
M_1,237_OPR_METRO_S,144_MSA_METRO_S
M_1,361_DOK_METRO_S,144_MSA_METRO_S
M_2,457_MEK_METRO_N,144_MSA_METRO_S
M_1,158_MZL_METRO_N,144_MSA_METRO_S
M_2,457_MEK_METRO_S,144_MSA_METRO_S
M_1,100_SHO_METRO_S2,144_MSA_METRO_S
M_1,69_NAG_METRO_S,144_MSA_METRO_S
M_1,69_NAG_METRO_N,144_MSA_METRO_S
M_1,324_ZER_METRO_N,144_MSA_METRO_S
M_1,457_GIZ_METRO_N,144_MSA_METRO_S
M_1,361_BHO_METRO_S,144_MSA_METRO_S
M_1,324_ZER_METRO_S,144_MSA_METRO_S
M_1,157_STR_METRO_S,144_MSA_METRO_S
M_1,457_GIZ_METRO_S,144_MSA_METRO_S
M_1,86_SAD_METRO_S2,144_MSA_METRO_S
M_1,361_BHO_METRO_N,144_MSA_METRO_S
M_1,326_SHB_METRO_S,144_MSA_METRO_S
M_1,77_BSH_METRO_N,144_MSA_METRO_S
M_1,192_KBN_METRO_S,144_MSA_METRO_S
M_1,118_GES_METRO_N,144_MSA_METRO_S
M_1,77_BSH_METRO_S,144_MSA_METRO_S
M_1,208_FZO_METRO_S,144_MSA_METRO_S
M_1,161_ABB_METRO_N,144_MSA_METRO_S
M_1,163_ABB_METRO_S,144_MSA_METRO_S
M_1,118_GES_METRO_S,144_MSA_METRO_S
M_1,81_ATT_METRO_W,144_MSA_METRO_S
M_1,214_AHR_METRO_N,144_MSA_METRO_S
M_1,161_ABB_METRO_S,144_MSA_METRO_S
M_1,214_AHR_METRO_S,144_MSA_METRO_S
M_1,163_ABB_METRO_N,144_MSA_METRO_S
M_1,190_STA_METRO_N,144_MSA_METRO_S
M_1,190_STA_METRO_S,144_MSA_METRO_S
M_1,192_KBN_METRO_N,144_MSA_METRO_S
M_1,81_ATT_METRO_E,144_MSA_METRO_S
M_1,208_FZO_METRO_N,144_MSA_METRO_S
M_1,137_GHM_METRO_S,157_KHL_METRO_S
M_2,23_MAD_METRO_N,157_KHL_METRO_S
M_2,23_SMA_METRO_N,157_KHL_METRO_S
M_2,23_SMA_METRO_S,157_KHL_METRO_S
M_1,159_DMD_METRO_N,157_KHL_METRO_S
M_1,98_ORA_METRO_N,157_KHL_METRO_S
M_1,86_SAD_METRO_S,157_KHL_METRO_S
M_1,159_DMD_METRO_S,157_KHL_METRO_S
M_2,246_DAR_METRO_S,157_KHL_METRO_S
M_3,10_HLW_METRO_S,157_KHL_METRO_S
M_1,98_ORA_METRO_S,157_KHL_METRO_S
M_2,223_MAT_METRO_S,157_KHL_METRO_S
M_1,137_GHM_METRO_N,157_KHL_METRO_S
M_1,180_KQO_METRO_N,157_KHL_METRO_S
M_2,246_DAR_METRO_N,157_KHL_METRO_S
M_1,180_KQO_METRO_S,157_KHL_METRO_S
M_2,232_NKH_METRO_N,157_KHL_METRO_S
M_2,26_KZK_METRO_N,157_KHL_METRO_S
M_2,232_NKH_METRO_S,157_KHL_METRO_S
M_1,251_NMR_METRO_S,157_KHL_METRO_S
M_2,223_HZT_METRO_S,157_KHL_METRO_S
M_1,47_ZEI_Metro_N,157_KHL_METRO_S
M_1,32_MSH_Metro_S,157_KHL_METRO_S
M_2,26_KZK_METRO_S,157_KHL_METRO_S
M_1,251_NMR_METRO_N,157_KHL_METRO_S
M_1,32_MSH_Metro_N,157_KHL_METRO_S
M_1,47_ZEI_Metro_S,157_KHL_METRO_S
M_2,246_HMA_METRO_S,157_KHL_METRO_S
M_2,246_HMA_METRO_N,157_KHL_METRO_S
M_1,160_MSD_METRO_N,157_KHL_METRO_S
M_1,180_SQO_METRO_N,157_KHL_METRO_S
M_2,28_TBA_METRO_N,157_KHL_METRO_S
M_1,160_MSD_METRO_S,157_KHL_METRO_S
M_1,251_MRG_METRO_S,157_KHL_METRO_S
M_2,28_TBA_METRO_S,157_KHL_METRO_S
M_3,10_AHL_METRO_S,157_KHL_METRO_S
M_1,180_SQO_METRO_S,157_KHL_METRO_S
M_1,251_MRG_METRO_N,157_KHL_METRO_S
M_3,10_AHL_METRO_N,157_KHL_METRO_S
M_1,87_NAS_METRO_S,157_KHL_METRO_S
M_1,52_SZA_Metro_S,157_KHL_METRO_S
M_2,223_HZT_METRO_N,157_KHL_METRO_S
M_3,14_HHL_METRO_S,157_KHL_METRO_S
M_3,14_HHL_METRO_N,157_KHL_METRO_S
M_1,52_SZA_Metro_N,157_KHL_METRO_S
M_1,87_NAS_METRO_N,157_KHL_METRO_S
M_3,10_UHL_METRO_S,157_KHL_METRO_S
M_3,10_UHL_METRO_N,157_KHL_METRO_S
M_2,31_ZAH_Metro_S,157_KHL_METRO_S
M_3,14_HOF_METRO_S,157_KHL_METRO_S
M_2,31_ZAH_Metro_N,157_KHL_METRO_S
M_2,223_MAT_METRO_N,157_KHL_METRO_S
